phc_id,medicine_name,forecast_date,forecast_daily_consumption,projected_stock,reorder_level,predicted_days_to_stockout
PHC_001,ASHA Delivery Kit,2026-06-30,0.7,90.3,10,
PHC_001,ASHA Delivery Kit,2026-07-01,1.0,89.3,10,
PHC_001,ASHA Delivery Kit,2026-07-02,0.9,88.5,10,
PHC_001,ASHA Delivery Kit,2026-07-03,0.9,87.5,10,
PHC_001,ASHA Delivery Kit,2026-07-04,0.9,86.7,10,
PHC_001,ASHA Delivery Kit,2026-07-05,0.9,85.8,10,
PHC_001,ASHA Delivery Kit,2026-07-06,0.9,84.9,10,
PHC_001,ASHA Delivery Kit,2026-07-07,0.9,84.0,10,
PHC_001,ASHA Delivery Kit,2026-07-08,0.9,83.1,10,
PHC_001,ASHA Delivery Kit,2026-07-09,0.9,82.2,10,
PHC_001,ASHA Delivery Kit,2026-07-10,0.9,81.3,10,
PHC_001,ASHA Delivery Kit,2026-07-11,0.9,80.4,10,
PHC_001,ASHA Delivery Kit,2026-07-12,0.9,79.5,10,
PHC_001,ASHA Delivery Kit,2026-07-13,0.9,78.6,10,
PHC_001,Amoxicillin 250mg,2026-06-30,2.2,236.8,40,
PHC_001,Amoxicillin 250mg,2026-07-01,2.9,233.9,40,
PHC_001,Amoxicillin 250mg,2026-07-02,2.6,231.3,40,
PHC_001,Amoxicillin 250mg,2026-07-03,2.7,228.6,40,
PHC_001,Amoxicillin 250mg,2026-07-04,2.7,226.0,40,
PHC_001,Amoxicillin 250mg,2026-07-05,2.7,223.3,40,
PHC_001,Amoxicillin 250mg,2026-07-06,2.7,220.6,40,
PHC_001,Amoxicillin 250mg,2026-07-07,2.7,217.9,40,
PHC_001,Amoxicillin 250mg,2026-07-08,2.7,215.3,40,
PHC_001,Amoxicillin 250mg,2026-07-09,2.7,212.6,40,
PHC_001,Amoxicillin 250mg,2026-07-10,2.7,209.9,40,
PHC_001,Amoxicillin 250mg,2026-07-11,2.7,207.2,40,
PHC_001,Amoxicillin 250mg,2026-07-12,2.7,204.6,40,
PHC_001,Amoxicillin 250mg,2026-07-13,2.7,201.9,40,
PHC_001,Anti-Rabies Vaccine,2026-06-30,0.9,15.1,8,
PHC_001,Anti-Rabies Vaccine,2026-07-01,0.9,14.3,8,
PHC_001,Anti-Rabies Vaccine,2026-07-02,0.9,13.4,8,
PHC_001,Anti-Rabies Vaccine,2026-07-03,0.9,12.4,8,
PHC_001,Anti-Rabies Vaccine,2026-07-04,0.9,11.5,8,
PHC_001,Anti-Rabies Vaccine,2026-07-05,0.9,10.6,8,
PHC_001,Anti-Rabies Vaccine,2026-07-06,0.9,9.6,8,
PHC_001,Anti-Rabies Vaccine,2026-07-07,0.9,8.7,8,
